"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"23/10/2025","","Saldo Anterior","","0","962.17",
"03/11/2025","","Pix - Recebido - 03/11 16:54 00003766666924 DANILO EDSO","","31654096502842","7836.60",
"03/11/2025","","Pix - Recebido - 03/11 17:12 00075607484149 CAIO RIBEIR","","31712181836302","6777.60",
"03/11/2025","","Pix - Recebido - 03/11 17:20 00006172655930 GUILHERME L","","31720304552762","17685.30",
"03/11/2025","","Pix - Recebido - 03/11 18:56 00004915480950 VINICIUS SA","","31856386459312","24992.40",
"03/11/2025","","Pix - Recebido - 03/11 19:19 06219147979 GUILHERME ANTU","","31919579260831","7201.20",
"03/11/2025","","Pix - Recebido - 03/11 19:20 87679043949 Marcos Luciano","","31920243881831","9954.60",
"03/11/2025","","Pix - Recebido - 03/11 19:24 00018223527898 EMERSON FER","","31924472538052","5824.50",
"04/11/2025","","Pix - Recebido - 04/11 06:02 03502807205 Kelvyn de Assu","","40602564767311","9107.40",
"04/11/2025","","Pix - Recebido - 04/11 08:11 87525160910 APARECIDA DOMI","","40811543269051","8789.70",
"04/11/2025","","Pix - Recebido - 04/11 09:21 00006572682919 ELEANDRO AL","","40921017059842","10695.90",
"04/11/2025","","Pix - Recebido - 04/11 09:34 00003276682885 RICARDO HEN","","40934318574672","36323.70",
"04/11/2025","","Pix - Recebido - 04/11 09:36 05402327939 Paulo Sérgio T","","40936250790961","14826.00",
"04/11/2025","","Pix - Recebido - 04/11 10:38 03864009979 GERSON SATURNI","","41038196171551","29757.90",
"04/11/2025","","Pix - Recebido - 04/11 11:54 00035730130821 KARINA BATA","","41154214255852","8657.33",
"04/11/2025","","Pix - Recebido - 04/11 13:04 00009062366902 MANOLO BRUN","","41304124561742","5718.60",
"04/11/2025","","Pix - Recebido - 04/11 13:14 00008700525944 WESLEY SANT","","41314474959322","51361.50",
"04/11/2025","","Pix - Recebido - 04/11 13:57 06987510946 John Lennon Ko","","41357546159461","6989.40",
"04/11/2025","","Pix - Recebido - 04/11 14:09 00004010813970 CLAUDEMIR A","","41409362388152","10378.20",
"04/11/2025","","Pix - Recebido - 04/11 14:25 14255131821 HENRIQUE C SIL","","41425541031961","4553.70",
"04/11/2025","","Pix - Recebido - 04/11 14:30 72648708987 FRANCISCA SPOR","","41430566412541","7095.30",
"04/11/2025","","Pix - Recebido - 04/11 14:59 24072524972 IVO ARCENO","","41459000840581","18426.60",
"04/11/2025","","Pix - Recebido - 04/11 15:16 07879996605 THIAGO LELLYS","","41516314016771","13872.90",
"04/11/2025","","Pix - Recebido - 04/11 15:16 05883125921 DOUGLAS SILVER","","41516556469121","2647.50",
"04/11/2025","","Pix - Recebido - 04/11 16:28 00014511181985 JOAO VICTOR","","41628271338222","15567.30",
"04/11/2025","","Pix - Recebido - 04/11 16:50 05116004104 Breure Eugênio","","41650379582311","12708.00",
"04/11/2025","","Pix - Recebido - 04/11 19:06 05628634948 Paulo Ricardo","","41906537914161","7413.00",
"05/11/2025","","Pix - Recebido - 05/11 06:19 04091856985 ELISTEIN PAULI","","50619331415291","10166.40",
"05/11/2025","","Pix - Recebido - 05/11 07:19 00021246183854 MARCOS EDUA","","50719252455722","13025.70",
"05/11/2025","","Pix - Recebido - 05/11 08:08 05116004104 Breure Eugênio","","50808081035931","9954.60",
"05/11/2025","","Pix - Recebido - 05/11 08:54 38733579920 JERSON GARCIA","","50854055415131","2859.30",
"05/11/2025","","Pix - Recebido - 05/11 09:05 00011062342941 ERICK PADIL","","50905492088262","24568.80",
"05/11/2025","","Pix - Recebido - 05/11 09:33 03515461973 REGINALDO LOPE","","50933133508421","28593.00",
"05/11/2025","","Pix - Recebido - 05/11 09:58 07289036956 RAFAEL DE MELL","","50958005848991","5612.70",
"05/11/2025","","Pix - Recebido - 05/11 11:47 00006554398970 ANDERSON XA","","51147018859072","83237.40",
"05/11/2025","","Pix - Recebido - 05/11 13:15 04002765938 HELTON MANOEL","","51315138899001","23403.90",
"05/11/2025","","Pix - Recebido - 05/11 14:00 61070440000100 MOTO LOCADA","","51400174356232","11331.30",
"05/11/2025","","Pix - Recebido - 05/11 14:49 00004197687931 PAULO CESAR","","51449014916932","30000.00",
"05/11/2025","","Pix - Recebido - 05/11 15:09 00007044034985 DIEGO DA RO","","51509476071512","14296.50",
"05/11/2025","","Pix - Recebido - 05/11 15:51 22868279000162 MAYCON RODR","","51551199468911","2280.00",
"05/11/2025","","Pix - Recebido - 05/11 16:43 11454403985 Eduardo Lopes","","51643376971601","6384.00",
"05/11/2025","","Pix - Recebido - 05/11 17:08 24127627000176 DIEGO HENRI","","51708149798411","20332.80",
"05/11/2025","","Pix - Recebido - 05/11 18:59 00007236025909 WELLINGTON","","51859366966582","33146.70",
"06/11/2025","","TED-Crédito em Conta - 104 0406    55325190997 LENIRA P DE OL","","35024754","13978.80",
"06/11/2025","","Transferido da poupança - 06/11 12:20 ADRIANO RODRIGUES SOUZA","","5000510040543","36323.70",
"06/11/2025","","Pix - Recebido - 06/11 06:06 04197687931 PAULO CESAR PR","","60606128614931","30000.00",
"06/11/2025","","Pix - Recebido - 06/11 09:57 26529374000192 KAYLANE C C","","60957553223371","12072.60",
"06/11/2025","","Pix - Recebido - 06/11 10:06 55780278000110 RENOVE PECA","","61006008693562","15143.70",
"06/11/2025","","Pix - Recebido - 06/11 10:14 46458859000140 DMAIS AUTO","","61014169766012","1694.40",
"06/11/2025","","Pix - Recebido - 06/11 11:13 85487940000100 JOSIAS ROSA","","61113220625832","10166.40",
"06/11/2025","","Pix - Recebido - 06/11 12:24 23946005000107 CORREA COME","","61224016380601","67458.30",
"06/11/2025","","Pix - Recebido - 06/11 13:17 54037048000101 CURITIBA MO","","61317498731041","71376.60",
"06/11/2025","","Pix - Recebido - 06/11 14:20 08828842989 Erick Bruno Pa","","61420555679221","18108.90",
"06/11/2025","","Pix - Recebido - 06/11 14:35 19811788000144 ZAVAN AUTO","","61435154062472","11754.90",
"06/11/2025","","Pix - Recebido - 06/11 15:05 52366146000159 RP AUTO PAR","","61505337634272","18108.90",
"06/11/2025","","Pix - Recebido - 06/11 15:19 50810099000165 ARIZONA AUT","","61519103240922","1482.60",
"06/11/2025","","Pix - Recebido - 06/11 18:41 46111160000109 CASA GM AUT","","61841548629661","1680.00",
"06/11/2025","","Transferência recebida - 06/11 10:20 JARINA MUNIZ NASCIMENTO","","143300000063573","5490.00",
"07/11/2025","","Pix - Recebido - 07/11 08:01 00004197687931 PAULO CESAR","","70801104341522","4493.10",
"07/11/2025","","Pix - Recebido - 07/11 10:00 26302694850 Jose da Silva","","71000123215771","8683.88",
"07/11/2025","","Pix - Recebido - 07/11 10:24 23083639830 CARLOS SERGIO","","71024247602471","4871.40",
"07/11/2025","","Pix - Recebido - 07/11 10:59 41878381806 Herbert de Sou","","71059571748701","15000.00",
"07/11/2025","","Pix - Recebido - 07/11 11:03 40835395000167 HSS COMERCI","","71103296903431","5121.00",
"07/11/2025","","Pix - Recebido - 07/11 14:31 18290446000163 Volkscania","","71431031650391","47549.10",
"07/11/2025","","Pix - Recebido - 07/11 17:35 24455460000172 E S Negri C","","71735045433441","32829.00",
"07/11/2025","","Pix - Recebido - 07/11 18:03 31263493000186 VK COMERCIO","","71803554625651","1.00",
"07/11/2025","","Pix - Recebido - 07/11 18:07 31263493000186 VK COMERCIO","","71807504279282","43206.20",
"10/11/2025","","TED-Crédito em Conta - 085 0101    97715123900 GEMERSON ANTON","","34823753","8975.03",
"10/11/2025","","Pix - Recebido - 10/11 10:24 42215945000170 LUIZ V MAZE","","101024333303882","36429.60",
"10/11/2025","","Pix - Recebido - 10/11 14:04 24941790000178 Zanolla E Z","","101404274519811","3177.00",
"10/11/2025","","Pix - Recebido - 10/11 16:56 00003404418107 WESLEY RODR","","101656447721612","17473.50",
"10/11/2025","","Pix - Recebido - 10/11 16:57 10664904000175 S O S COMER","","101657396702201","60420.00",
"10/11/2025","218-6","Transferência enviada - 10/11 14:26 CARVALHO ENG GESTAO LTDA","","520218000027097","-94800.00",
"10/11/2025","218-6","Transferência enviada - 10/11 14:27 LAZARO FERNANDO CARVALHO","","520218000029063","-50000.00",
"10/11/2025","","Aplicação BB CDB DI","","1010063675719","-1000000.00",
"10/11/2025","","Tarifa Pacote de Serviços - Cobrança referente 10/11/2025","","833141102355600","-27.80",
"11/11/2025","","Pix - Recebido - 11/11 09:02 11667010000100 JOSE ANTONI","","110902391807731","13449.30",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111101","-38.70",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111102","-27.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111103","-19.80",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111104","-54.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111105","-40.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111106","-48.60",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111107","-162.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111108","-47.70",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111109","-27.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111110","-45.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111111","-63.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111112","-40.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111113","-70.20",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111114","-19.80",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111115","-65.70",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111116","-72.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111117","-20.70",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111118","-66.60",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111119","-24.30",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111120","-41.40",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111121","-49.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111122","-22.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111123","-63.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111124","-7.20",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111125","-66.60",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111126","-67.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111127","-39.60",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111128","-22.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111129","-35.10",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111130","-73.80",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111131","-45.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111132","-126.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111133","-154.80",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111134","-57.60",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111135","-56.70",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111136","-81.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111137","-40.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111138","-47.70",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111139","-62.10",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111140","-58.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111141","-80.10",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111142","-150.30",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111143","-126.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111144","-121.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111145","-175.50",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111146","-153.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111147","-333.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111148","-61.20",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111149","-149.40",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111150","-198.90",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111151","-126.00",
"11/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111152","-215.10",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111201","-66.60",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111202","-182.70",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111203","-126.90",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111204","-59.40",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111205","-72.00",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111206","-310.50",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111207","-90.90",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111208","-232.20",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111209","-81.00",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111210","-84.60",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111211","-77.40",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111212","-70.20",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111213","-74.70",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111214","-73.80",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111215","-117.90",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111216","-76.28",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111217","-59.40",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111218","-73.58",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111219","-90.00",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111220","-88.20",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111221","-108.00",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111222","-84.60",
"12/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111223","-96.30",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111301","-864.09",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111302","-1201.09",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111303","-1138.99",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111304","-1382.25",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111305","-1267.56",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111306","-1193.65",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111307","-1211.67",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111308","-1485.90",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111309","-1312.87",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111310","-1236.98",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111311","-1536.42",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111312","-1433.19",
"13/11/2025","","Pagamento de Impostos - GOV. PARANA-SEFA - GR-PR","","111313","-1710.01",
"14/11/2025","","Pix - Enviado - 14/11 15:52 LAZARO FERNANDO DE CARVAL","","111401","-50000.00",
"14/11/2025","","Pix - Enviado - 14/11 16:25 NICOLLAS JORGE OLIVEIRA S","","111402","-1620.00",
"17/11/2025","","Pix - Recebido - 17/11 14:53 22262998825 ADAMO RAIER NE","","171453466021161","2600.00",
"17/11/2025","","Pix - Recebido - 17/11 14:57 22262998825 ADAMO RAIER NE","","171457014341501","0.10",
"17/11/2025","","Pix - Recebido - 17/11 17:25 40346368820 Isabela Santia","","171725247621351","6065.10",
"17/11/2025","","Pagamento de Impostos - DETRAN PR","","111700","-314.32",
